CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,ATD_TIME,BERTH,NEXT_PORT
D5FG7,DENEB,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,SGS HONG KONG LIMITED,2025/05/12 18:06,SELA,"SHANWEI, GD"
VRUB8,EVER ORDER,CONTAINER,"HONG KONG, CHINA",EVERGREEN MARINE (HONG KONG) LTD,2025/05/12 18:27,KC7,"YANTIAN, SHENZHEN"
9HA5839,CNC PUMA,CONTAINER,MALTA,CMA CGM ASIA SHIPPING PTE. LTD.,2025/05/12 19:16,URMA,"TIANJIN XINGANG, TJ"
3E4003,SUNFLYTE,CHEMICAL,PANAMA,OCEAN BASE CO LTD,2025/05/12 19:19,SLA,OPEN SEA
VRTB6,SEAL ISLAND,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,2025/05/12 19:43,SELA,OPEN SEA
BPIU9,HONG JING,LIQUIFIED PETROLEUM GAS TANKER,CHINA,S5 ASIA LIMITED,2025/05/12 19:53,SHELL,"DONGGUAN, GD"
2HDG3,EVER LISSOME,CONTAINER,UNITED KINGDOM OF GREAT BRITAIN,EVERGREEN MARINE (HONG KONG) LTD,2025/05/12 21:34,KC8,"YANTIAN, SHENZHEN"
3E6120,HARMONY 2,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,2025/05/12 22:20,SWLA,KURE
3EKU8,SPRING QUEEN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,NS UNITED SHIPPING (HK) CO LIMITED,2025/05/12 22:48,SELA,SINGAPORE
BFAH8,RUI NING 8,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,SK SHIPPING LIMITED,2025/05/12 23:30,SWLA,HAIPHONG
3E2049,EVER CONNECT,CONTAINER,PANAMA,EVERGREEN MARINE (HONG KONG) LTD,2025/05/12 23:32,WA2,"SHEKOU, SHENZHEN"
DSOA8,KMTC JAKARTA,CONTAINER,REPUBLIC OF KOREA,KMTC (HK) CO LIMITED,2025/05/12 23:42,KC11,"XIAMEN, FJ"
DSMA4,KMTC TIANJIN,CONTAINER,REPUBLIC OF KOREA,KMTC (HK) CO LIMITED,2025/05/13 00:02,KC6,PORT KELANG
3EHZ9,KMTC OSAKA,CONTAINER,PANAMA,KMTC (HK) CO LIMITED,2025/05/13 00:30,KC7,KAOHSIUNG
9V2252,CHANYA NAREE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,"SEACON SHIPMANAGE (HK) CO., LIMITED",2025/05/13 00:56,SWLA,KOTA KINABALU
VRWW2,YI HUI LIAN RUN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",SGS HONG KONG LIMITED,2025/05/13 01:15,SELA,"LONGKOU, SD"
3E5913,YAN GANG 2,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,2025/05/13 01:19,SELA,"WENZHOU, ZJ"
3EJI7,ZAMBALES,RORO/REEFER CARRIER,PANAMA,EASTERN WORLDWIDE CO LTD,2025/05/13 01:56,CMTY,HAIPHONG
5LPH8,HUMBOLDT EXPRESS,CONTAINER,LIBERIA,PENAVICO (HONG KONG) LIMITED,2025/05/13 02:59,KC5,"YANTIAN, GD"
VRPU8,XING SHOU HAI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",MINDA SHIPPING (HONG KONG) LIMITED,2025/05/13 03:27,SWLA,"OTHER, PHILIPPINES"
9HA5466,CMA CGM HOPE,CONTAINER,MALTA,CMA CGM (HONG KONG) LIMITED,2025/05/13 03:35,SELA,"NANSHA, PANYU"
V7KN6,ZIRCON,CHEMICAL,MARSHALL ISLANDS,OCEANUS MARITIME COMPANY LIMITED,2025/05/13 03:47,SLA,OPEN SEA
D5WB7,MANET,CONTAINER,LIBERIA,OOCL HONG KONG BRANCH,2025/05/13 04:02,KC6,"SHEKOU, SHENZHEN"
V7BQ2,GENCO RESOLUTE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,BEN LINE AGENCIES (HK) LTD,2025/05/13 04:13,SELA,PORT HEDLAND
D7VD,DONGJIN CONTINENTAL,CONTAINER,REPUBLIC OF KOREA,SINOTRANS (HK) SHIPPING LTD,2025/05/13 04:14,SELA,INCHEON
V7A5710,TS JAKARTA,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,2025/05/13 04:30,KC10,KEELUNG
3E2735,XIN YUAN 237,CONTAINER,PANAMA,OCEAN BASE CO LTD,2025/05/13 05:00,SWLA,"DONGGUAN, GD"
9HA5817,CNC CHEETAH,CONTAINER,MALTA,CMA CGM ASIA SHIPPING PTE. LTD.,2025/05/13 06:50,KC7,"SHEKOU, SHENZHEN"
A8ZM5,FPMC B 108,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,"UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/13 07:27,SWLA,OPEN SEA
VRMV2,YUEHAI STAR,CHEMICAL,"HONG KONG, CHINA",CGW LOGISTICS CO LIMITED,2025/05/13 07:29,SLA,"JIANGYIN, JS"
5BCK2,MEGALOHARI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CYPRUS,"UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/13 08:25,SELA,OPEN SEA
3E5137,CHUNRONG 803,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,2025/05/13 09:28,SWLA,"YANGJIANG, GD"
3E8732,HUI FENG HAI 17,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,2025/05/13 10:00,SWLA,BATAM
BLHP,YM IMMENSE,CONTAINER,"TAIWAN, CHINA",YANG MING LINE (HONG KONG) LTD,2025/05/13 10:57,KC7,KAOHSIUNG
9LU2481,LIAN YUN 9,GENERAL / HEAVY LIFT CARGO,SIERRA LEONE,BRIGHT CAPITAL SHIPPING CO LIMITED,2025/05/13 11:45,SWLA,"QUANZHOU, FJ"
V7A2844,STAR EXPLORER,CONTAINER,MARSHALL ISLANDS,NAMSUNG SHIPPING HONG KONG LIMITED,2025/05/13 12:56,KC10,HAIPHONG
3E7671,FU LONG SHENG,GENERAL / HEAVY LIFT CARGO,PANAMA,CONCORD MARINE LIMITED,2025/05/13 12:57,SELA,BINTULU
D7IG,QINGDAO TRADER,CONTAINER,REPUBLIC OF KOREA,SINOKOR HONGKONG CO LIMITED,2025/05/13 13:03,KC11,HAIPHONG
V7A6216,TS HAKATA,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,2025/05/13 14:01,KC10,NAN SHA
BOEM,DA DE,GENERAL / HEAVY LIFT CARGO,CHINA,PENAVICO (HONG KONG) LIMITED,2025/05/13 14:11,YLD,SUEZ
